,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
263,Teruel,3,1,0,1,0,0,0,0,0,1,2022_1T.xlsx
264,Zaragoza,41,7,8,4,5,6,1,1,0,9,2022_1T.xlsx
265,Asturias,23,2,3,3,3,2,5,0,0,5,2022_1T.xlsx
266,"Balears, Illes",34,8,1,3,3,5,5,4,0,5,2022_1T.xlsx
267,Canarias,28,7,3,1,2,1,0,0,0,14,2022_1T.xlsx
268,Las Palmas de Gran Canaria,17,6,1,0,2,1,0,0,0,7,2022_1T.xlsx
269,Santa Cruz de Tenerife,11,1,2,1,0,0,0,0,0,7,2022_1T.xlsx
270,Cantabria,20,6,4,4,0,1,0,0,0,5,2022_1T.xlsx
271,Castilla y León,22,3,1,5,1,4,0,0,0,8,2022_1T.xlsx
272,Ávila,1,0,0,0,0,1,0,0,0,0,2022_1T.xlsx
273,Burgos,6,0,0,4,1,1,0,0,0,0,2022_1T.xlsx
274,León,2,1,0,0,0,0,0,0,0,1,2022_1T.xlsx
275,Palencia,1,0,0,0,0,0,0,0,0,1,2022_1T.xlsx
276,Salamanca,2,0,0,0,0,1,0,0,0,1,2022_1T.xlsx
277,Segovia,2,1,0,0,0,0,0,0,0,1,2022_1T.xlsx
278,Soria,2,0,0,0,0,0,0,0,0,2,2022_1T.xlsx
279,Valladolid,6,1,1,1,0,1,0,0,0,2,2022_1T.xlsx
280,Zamora,0,0,0,0,0,0,0,0,0,0,2022_1T.xlsx
281,Castilla-La Mancha,37,6,6,4,2,3,1,0,0,15,2022_1T.xlsx
282,Albacete,10,3,3,1,1,1,0,0,0,1,2022_1T.xlsx
283,Ciudad Real,5,3,0,1,0,0,0,0,0,1,2022_1T.xlsx
284,Cuenca,6,0,1,0,0,1,1,0,0,3,2022_1T.xlsx
285,Guadalajara,3,0,1,0,0,1,0,0,0,1,2022_1T.xlsx
286,Toledo,13,0,1,2,1,0,0,0,0,9,2022_1T.xlsx
287,Cataluña,320,62,53,51,25,20,8,2,2,97,2022_1T.xlsx
288,Barcelona,275,51,47,45,22,17,6,2,2,83,2022_1T.xlsx
289,Girona,25,2,4,4,3,2,1,0,0,9,2022_1T.xlsx
290,Lleida,15,7,1,2,0,1,0,0,0,4,2022_1T.xlsx
291,Tarragona,5,2,1,0,0,0,1,0,0,1,2022_1T.xlsx
292,Comunitat Valenciana,203,37,37,38,28,11,5,1,2,44,2022_1T.xlsx
293,Alicante,60,14,8,7,8,4,2,0,0,17,2022_1T.xlsx
294,Castellón,23,3,3,5,4,2,0,0,0,6,2022_1T.xlsx
295,Valencia,120,20,26,26,16,5,3,1,2,21,2022_1T.xlsx
296,Extremadura,7,1,1,1,4,0,0,0,0,0,2022_1T.xlsx
297,Badajoz,4,0,1,0,3,0,0,0,0,0,2022_1T.xlsx
298,Cáceres,3,1,0,1,1,0,0,0,0,0,2022_1T.xlsx
299,Galicia,52,9,11,8,2,6,2,0,2,12,2022_1T.xlsx
300,A Coruña,19,7,3,1,1,2,2,0,1,2,2022_1T.xlsx
301,Lugo,11,0,2,3,0,0,0,0,0,6,2022_1T.xlsx
302,Ourense,6,0,1,1,1,1,0,0,0,2,2022_1T.xlsx
303,Pontevedra,16,2,5,3,0,3,0,0,1,2,2022_1T.xlsx
304,Madrid,325,84,59,52,26,19,11,1,4,69,2022_1T.xlsx
305,Murcia,38,9,4,5,3,5,3,2,0,7,2022_1T.xlsx
306,Navarra,7,4,0,1,1,0,1,0,0,0,2022_1T.xlsx
307,Pais Vasco,66,14,8,14,9,4,2,0,0,15,2022_1T.xlsx
308,Araba/Álava,11,2,1,6,2,0,0,0,0,0,2022_1T.xlsx
309,Bizkaia,41,10,5,5,6,2,2,0,0,11,2022_1T.xlsx
310,Gipuzkoa,14,2,2,3,1,2,0,0,0,4,2022_1T.xlsx
311,La Rioja,7,0,1,2,0,2,0,0,0,2,2022_1T.xlsx
312,Ceuta y Melilla,1,0,0,0,1,0,0,0,0,0,2022_1T.xlsx
313,Ceuta,0,0,0,0,0,0,0,0,0,0,2022_1T.xlsx
314,Melilla,1,0,0,0,1,0,0,0,0,0,2022_1T.xlsx
315,Andalucía,104,25,13,8,8,10,6,3,0,31,2022_2T.xlsx
316,Almería,14,0,2,2,0,2,2,0,0,6,2022_2T.xlsx
317,Cádiz,5,1,0,1,1,0,0,0,0,2,2022_2T.xlsx
318,Córdoba,8,0,0,1,1,1,0,0,0,5,2022_2T.xlsx
319,Granada,19,3,4,1,2,0,1,1,0,7,2022_2T.xlsx
320,Huelva,8,1,2,0,0,1,1,1,0,2,2022_2T.xlsx
321,Jaén,4,2,0,0,1,1,0,0,0,0,2022_2T.xlsx
322,Málaga,23,8,4,2,2,4,0,0,0,3,2022_2T.xlsx
323,Sevilla,23,10,1,1,1,1,2,1,0,6,2022_2T.xlsx
324,Aragón,36,5,9,8,5,3,1,0,0,5,2022_2T.xlsx
325,Huesca,4,2,1,0,0,0,0,0,0,1,2022_2T.xlsx
326,Teruel,4,0,3,0,0,0,0,0,0,1,2022_2T.xlsx
327,Zaragoza,28,3,5,8,5,3,1,0,0,3,2022_2T.xlsx
328,Asturias,24,2,8,4,2,4,2,0,0,2,2022_2T.xlsx
329,"Balears, Illes",23,4,4,6,2,2,0,0,0,5,2022_2T.xlsx
330,Canarias,37,6,5,7,1,6,2,1,0,9,2022_2T.xlsx
331,Las Palmas de Gran Canaria,22,3,4,4,1,3,1,1,0,5,2022_2T.xlsx
332,Santa Cruz de Tenerife,15,3,1,3,0,3,1,0,0,4,2022_2T.xlsx
333,Cantabria,8,0,0,2,0,2,0,0,0,4,2022_2T.xlsx
334,Castilla y León,25,9,2,3,2,1,0,0,0,8,2022_2T.xlsx
335,Ávila,1,0,0,1,0,0,0,0,0,0,2022_2T.xlsx
336,Burgos,4,1,0,1,0,0,0,0,0,2,2022_2T.xlsx
337,León,5,1,1,1,1,0,0,0,0,1,2022_2T.xlsx
338,Palencia,1,0,0,0,0,0,0,0,0,1,2022_2T.xlsx
339,Salamanca,3,2,0,0,0,0,0,0,0,1,2022_2T.xlsx
340,Segovia,1,1,0,0,0,0,0,0,0,0,2022_2T.xlsx
341,Soria,3,1,0,0,0,0,0,0,0,2,2022_2T.xlsx
342,Valladolid,5,3,1,0,0,0,0,0,0,1,2022_2T.xlsx
343,Zamora,2,0,0,0,1,1,0,0,0,0,2022_2T.xlsx
344,Castilla-La Mancha,29,5,3,6,3,3,0,0,0,9,2022_2T.xlsx
